product_name,product_category,brand,manufacturer,package_size,unit,old_price,new_price,catalogue_name,catalogue_date,year,source_url
"Молоко «Правильное» 3,2%-4%, 900 мл",Молоко,Правильное,,900,мл,100.17,85.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Бифилайф «Рузский» кисломолочный2,5 %, 250 г","Кефир, ряженка, тан, айран",Рузское молоко,Рузское молоко,250,г,108.64,69.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Ряженка EkoNiva 4%, 1 л","Кефир, ряженка, тан, айран",EkoNiva,,1000,мл,104.87,85.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Кефир «Домик в деревне» лёгкий вечер 1%, 900 г","Кефир, ряженка, тан, айран",Домик в деревне,Вимм-Билль-Данн,900,г,85.04,67.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сырок глазированный «Чудо Десерт» Три шоколада 24,4%, 40 г",Сырок,Чудо,Вимм-Билль-Данн,40,г,41.78,31.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сырок глазированный «Чудо Десерт» Вишня и Пирожное 23,4%, 40 г",Сырок,Чудо,Вимм-Билль-Данн,40,г,41.78,31.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Творог «Экомилк» рассыпчатый 5%, 350 г",Творог,Экомилк,Экомилк,350,г,138.64,117.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Масло сливочное «Из Вологды» Крестьянское 72,5%, 180 г",Масло сливочное и спред,Из Вологды,,180,г,194.79,149.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр плавленый Hochland сливочный 35%, 100 г",Сыр,Hochland,,100,г,54.99,38.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр плавленый Hochland с ветчиной, 100 г",Сыр,Hochland,,100,г,54.99,38.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр плавленый Hochland с грибами 55%, 100 г",Сыр,Hochland,,100,г,54.99,38.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр плавленый «Сыробогатов» Сливочный 45% ломтиками, 130 г",Сыр,Сыробогатов,,130,г,84.99,59.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр рассольный Unagrande Моцарелла классическая 50%, 125 г",Сыр,Unagrande,,125,г,135.99,99.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр рассольный Unagrande Моцарелла Чильеджина в шариках, 125 г",Сыр,Unagrande,,125,г,138.99,99.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр плавленый Hochland Фетакса с маслинами и паприкой, 200 г",Сыр,Hochland,,200,г,149.99,114.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр творожный Mlekara Sabac А ла Каймак мягкий 70%, 250 г",Сыр,Mlekara Sabac,,250,г,180.99,144.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр полутвердый Laime Premium Quality 50%, 240 г",Сыр,Laime Premium,,240,г,243.99,169.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр Galbani Моцарелла Макси 45%, 250 г",Сыр,Galbani,,250,г,307.99,219,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр Dolce Granto Пармезан 40%, 200 г",Сыр,Dolce Granto,,200,г,361.99,249,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр твердый Excelsior Маасдам 45%, 1 кг",Сыр,Excelsior,,1000,г,1013.99,859,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр плавленый President Сливочный 45%, 400 г",Сыр,President,,400,г,238.99,179.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сыр плавленый President с ветчиной 45%, 400 г",Сыр,President,,400,г,238.99,179.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
"Сырок творожный «Десертайм» глазированный с ванилью 20%, 50 г",Сырок,Десертайм,,50,г,42.38,34.9,Сезонный каталог Атак «Недельный каталог»,с 17 по 23 марта 2022,2022,https://proshoper.ru//actions/atak/moskva/175686/
